"Task","Sprint","Status","Category","Owner","Start","Due"
"Write intake agent system prompt","Sprint 1","Done","Planning","Sajid","2026-07-15","2026-07-17"
"Define 3 incident pillars and slots","Sprint 1","Done","Planning","Ananna","2026-07-15","2026-07-18"
"Build CLI prototype for intake","Sprint 1","Done","Backend","Sajid","2026-07-18","2026-07-21"
"Configure AI provider (Gemini)","Sprint 1","Done","Setup","Nayem","2026-07-19","2026-07-21"
"Scaffold Next.js app and Tailwind","Sprint 2","Done","Setup","Sajid","2026-07-22","2026-07-23"
"Build chat UI (ChatWindow)","Sprint 2","Done","Frontend","Mow","2026-07-23","2026-07-26"
"Set up SQLite database and schema","Sprint 2","Done","Backend","Nayem","2026-07-23","2026-07-25"
"Build /api/chat route","Sprint 2","Done","Backend","Sajid","2026-07-24","2026-07-27"
"Add PWA manifest and service worker","Sprint 2","Done","Frontend","Mow","2026-07-26","2026-07-28"
"Admin portal Basic-Auth gate","Sprint 2","Done","Security","Nayem","2026-07-27","2026-07-28"
"Email and password auth (scrypt)","Sprint 3","Done","Auth","Nayem","2026-07-29","2026-07-31"
"Google OAuth login","Sprint 3","Done","Auth","Sajid","2026-07-30","2026-08-01"
"Phone OTP verification","Sprint 3","Done","Auth","Nayem","2026-07-31","2026-08-02"
"Bangla / English i18n","Sprint 3","Done","Frontend","Mow","2026-07-30","2026-08-02"
"Engineer portal: queue and stats","Sprint 3","Done","Frontend","Ananna","2026-08-01","2026-08-04"
"Case events and progress timeline","Sprint 3","Done","Backend","Sajid","2026-08-02","2026-08-04"
"Landing page and laws / resources","Sprint 3","Done","Frontend","Mow","2026-08-01","2026-08-04"
"bKash treat flow and TrxID capture","Sprint 4","Done","Payment","Sajid","2026-08-05","2026-08-07"
"Admin payment verification","Sprint 4","Done","Payment","Nayem","2026-08-06","2026-08-08"
"Security hardening (rate limits / headers / CSRF)","Sprint 4","Done","Security","Nayem","2026-08-07","2026-08-10"
"Feedback and reviews board","Sprint 4","Done","Frontend","Mow","2026-08-06","2026-08-09"
"End-to-end testing","Sprint 4","Done","Testing","Ananna","2026-08-08","2026-08-11"
"Use case diagram (UML)","Sprint 5","Done","Design","Ananna","2026-08-12","2026-08-14"
"Class diagram (UML)","Sprint 5","Done","Design","Ananna","2026-08-13","2026-08-15"
"Sequence diagram (UML)","Sprint 5","Done","Design","Sajid","2026-08-13","2026-08-15"
"Project report (Word)","Sprint 5","Done","Docs","Mow","2026-08-14","2026-08-17"
"README and setup guide","Sprint 5","Done","Docs","Nayem","2026-08-14","2026-08-16"
"Presentation slide deck","Sprint 5","In progress","Docs","Sajid","2026-08-15","2026-08-19"
"Speech notes and rehearsal","Sprint 5","In progress","Docs","Ananna","2026-08-17","2026-08-19"
"Final polish and submission","Sprint 5","To Do","Delivery","All","2026-08-19","2026-08-20"
